normal,shear
6732.4670974504725,7999.732950192931
6757.458710917734,8019.5076587705325
6782.437456852909,8039.24817673764
6807.403386173765,8058.954688217138
6832.356549388745,8078.627375535152
6857.296996603124,8098.266419249941
6882.224777524996,8117.871998180044
6907.139941471113,8137.444289431764
6932.042537372558,8156.983468425915
6956.9326137802855,8176.489708923965
6981.810218870532,8195.963183053518
7006.675400450067,8215.404061333196
7031.52820596134,8234.812512696924
7056.368682487485,8254.188704517635
7081.196876757213,8273.532802630438
7106.012835149584,8292.844971355238
7130.816603698674,8312.125373518842
7155.60822809813,8331.37417047658
7180.387753705608,8350.591522133396
7205.155225547128,8369.777586964508
7229.91068832133,8388.932522035622
7254.654186403623,8408.05648302267
7279.385763850242,8427.149624231128
7304.1054644022415,8446.212098614944
7328.813331489377,8465.244057795057
7353.509408233908,8484.24565207749
7378.193737454335,8503.217030471127
7402.8663616690465,8522.158340705071
7427.527323099895,8541.069729245679
7452.176663675705,8559.951341313244
7476.814425035689,8578.80332089832
7501.44064853284,8597.625810777767
7526.0553752372025,8616.418952530434
7550.658645939128,8635.182886552573
7575.250501152439,8653.91775207293
7599.830981117526,8672.623687167536
7624.400125804435,8691.300828774274
7648.957974915842,8709.949312707105
7673.504567889988,8728.569273670057
7698.0399439035855,8747.160845270962
7722.564141874648,8765.724160034924
7747.0772004652745,8784.259349417556
7771.579158084382,8802.766543817972
7796.070052890399,8821.24587259153
7820.549922793913,8839.697464062381
7845.018805460258,8858.121445535782
7869.476738312077,8876.517943310173
7893.9237585318115,8894.887082689076
7918.359903064209,8913.228987992778
7942.785208618712,8931.54378256981
7967.199711671869,8949.831588808223
7991.6034484696775,8968.092528146703
8015.996455029897,8986.326721085474
8040.378767144332,9004.534287197033
8064.750420381056,9022.715345136698
8089.111450086633,9040.870012652997
8113.461891388289,9058.998406597888
8137.801779196036,9077.10064293679
8162.131148204793,9095.176836758497
8186.450032896452,9113.227102284887
8210.758467541931,9131.251552880525
8235.056486203173,9149.250301062075
8259.344122735154,9167.223458507586
8283.6214107878,9185.17113606563
8307.888383807964,9203.093443764326
8332.145075041286,9220.990490820153
8356.391517534084,9238.862385646731
8380.627744135196,9256.70923586338
8404.85378749781,9274.531148303608
8429.069680081242,9292.328229023438
8453.275454152728,9310.10058330965
8477.471141789156,9327.848315687861
8501.6567748788,9345.571529930507
8525.832385123014,9363.27032906471
8549.99800403791,9380.944815380031
8574.153662956023,9398.595090436118
8598.299393027934,9416.221255070212
8622.435225223884,9433.823409404598
8646.561190335373,9451.401652853909
8670.677318976728,9468.95608413235
8694.783641586657,9486.48680126081
8718.880188429765,9503.99390157388
8742.966989598095,9521.47748172677
8767.044075012589,9538.937637702147
8791.111474424593,9556.374464816852
8815.169217417295,9573.788057728545
8839.217333407163,9591.178510442267
8863.255851645374,9608.54591631688
8887.284801219213,9625.890368071463
8911.304211053468,9643.211957791598
8935.314109911786,9660.510776935573
8959.314526398031,9677.7869163405
8983.305488957632,9695.040466228384
9007.287025878899,9712.271516212068
9031.25916529431,9729.480155301124
9055.221935181833,9746.666471907667
9079.175363366185,9763.830553852098
9103.119477520093,9780.972488368758
9127.05430516554,9798.092362111514
9150.979873675002,9815.190261159294
9174.896210272664,9832.266271021526
9198.803342035624,9849.32047664351
9222.701295895082,9866.352962411751
9246.59009863751,9883.363812159181
9270.469776905838,9900.35310917036
9294.340357200583,9917.32093618658
9318.201865880994,9934.26737541091
9342.054329166178,9951.19250851321
9365.89777313622,9968.096416635033
9389.732223733265,9984.979180394512
9413.557706762631,10001.840879891157
9437.374247893868,10018.681594710617
9461.181872661831,10035.501403929358
9484.980606467729,10052.300386119308
9508.770474580178,10069.078619352438
9532.551502136212,10085.836181205284
